subject,scenario,base,adjusted_by,unit,per,correlation
any,neutral,series_conversions,opponent,offense,game,0.20483140700242825
passing,neutral,series_conversions,opponent,differential,drive,0.2047770779101356
any,any,turnovers,opponent,defense,drive,0.2040179810553393
any,any,turnovers,opponent,defense,play,0.20399943866536543
core,any,turnovers,opponent,defense,drive,0.20334300232511757
core,any,turnovers,opponent,defense,play,0.20190337662315722
rushing,neutral,epa,none,offense,play,0.20149768470627358
rushing,any,yards,none,differential,game,0.20132121413998763
rushing,any,epa,opponent,offense,play,0.2011752391640206
any,neutral,series_conversions,none,offense,game,0.19927707273295955
rushing,any,yards,opponent,differential,game,0.19918559448994738
rushing,any,epa,opponent,offense,drive,0.19910900831035228
rushing,any,epa,opponent,offense,game,0.19894427091356404
any,any,turnovers,none,defense,play,0.19757084530426103
rushing,neutral,yards,none,offense,play,0.19612379367895352
passing,neutral,turnovers,opponent,defense,play,0.19600965086447253
core,any,turnovers,none,defense,play,0.1950652375884843
rushing,any,yards,none,offense,game,0.19445776005473042
core,any,turnovers,opponent,defense,game,0.19209136820789638
any,any,turnovers,opponent,defense,game,0.19209136820789638
rushing,any,success,opponent,offense,game,0.1909842622728554
any,any,turnovers,none,defense,drive,0.19041057777160078
rushing,any,success,none,differential,play,0.18979168270085003
core,any,turnovers,none,defense,drive,0.18974002938328885
rushing,any,yards,none,offense,play,0.18822828715106193
passing,neutral,series_conversions,opponent,offense,game,0.1866399800046208
rushing,any,success,opponent,offense,drive,0.18581486150305834
rushing,any,success,opponent,offense,play,0.1856033834249013
passing,neutral,series_conversions,none,offense,game,0.1854777701923904
rushing,any,success,none,differential,game,0.18426667436482644
core,any,turnovers,none,defense,game,0.183626295115089
any,any,turnovers,none,defense,game,0.183626295115089
passing,neutral,turnovers,none,defense,drive,0.1807203598847641
core,neutral,series_conversions,opponent,offense,game,0.18037339644354106
rushing,any,yards,opponent,offense,game,0.18017657462011194
rushing,any,success,none,differential,drive,0.17952981467705176
rushing,neutral,success,none,offense,play,0.17834260696077545
rushing,any,epa,none,differential,game,0.17782900661397147
rushing,any,yards,none,offense,drive,0.17780804649087445
rushing,any,success,opponent,differential,play,0.17771850573206124
rushing,neutral,epa,opponent,offense,game,0.1771104721497089
rushing,any,epa,none,differential,drive,0.17624807255385522
rushing,any,epa,none,differential,play,0.17617105160558325
rushing,neutral,epa,opponent,offense,drive,0.1747693799101066
rushing,neutral,points,opponent,differential,drive,0.1745983323893727
core,neutral,series_conversions,none,offense,game,0.17457415782153693
passing,neutral,turnovers,opponent,defense,drive,0.17384635024218312
passing,any,epa,none,defense,drive,0.17252253283025537
rushing,neutral,epa,opponent,offense,play,0.17177286319873403
passing,any,epa,none,defense,play,0.17146489215351668
rushing,any,yards,opponent,offense,drive,0.17133328462332506
rushing,neutral,points,opponent,differential,game,0.1709884023363343
rushing,neutral,success,none,offense,drive,0.1702898619782497
rushing,neutral,success,none,offense,game,0.16979798197000953
passing,any,epa,none,defense,game,0.1695559028617106
rushing,any,success,opponent,differential,game,0.1693166494526308
passing,any,series_conversions,opponent,offense,drive,0.16838375212584106
rushing,neutral,points,opponent,differential,play,0.16830694822482525
rushing,any,series_conversions,none,defense,game,0.16764527451967665
any,neutral,series_conversions,opponent,offense,drive,0.16740257485409774
passing,neutral,series_conversions,opponent,offense,drive,0.1664817868475385
rushing,any,epa,opponent,differential,game,0.16506507421385178
passing,any,series_conversions,none,offense,drive,0.16479969281405393
passing,neutral,turnovers,none,defense,game,0.16345111493222297
rushing,any,points,opponent,defense,drive,0.16292325776285424
rushing,any,epa,opponent,differential,drive,0.16166974894503974
rushing,neutral,yards,opponent,offense,play,0.16096194977397496
rushing,any,epa,opponent,differential,play,0.16067858745475014
rushing,any,points,opponent,defense,game,0.16038327732512925
rushing,any,success,opponent,differential,drive,0.16023797629534284
rushing,any,yards,opponent,offense,play,0.15981143395150055
rushing,neutral,points,none,differential,drive,0.15797689036298737
passing,neutral,series_conversions,none,offense,drive,0.1568598363892811
rushing,neutral,points,none,differential,game,0.15666723089228804
rushing,neutral,success,opponent,offense,play,0.15469235534810727
rushing,neutral,points,none,differential,play,0.1534201557220448
any,neutral,series_conversions,none,offense,drive,0.15337330452910777
passing,neutral,turnovers,opponent,defense,game,0.1524675884785664
rushing,any,points,none,defense,drive,0.1512327621848324
rushing,neutral,series_conversions,none,differential,drive,0.1508212309611603
passing,any,epa,opponent,defense,play,0.1501899821963895
rushing,neutral,success,none,differential,play,0.14885668864732027
rushing,neutral,series_conversions,none,differential,game,0.14873020051119443
rushing,neutral,series_conversions,opponent,differential,drive,0.1479342089010258
rushing,any,series_conversions,none,defense,drive,0.14783283813365164
core,neutral,series_conversions,none,defense,game,0.1474407110514237
any,neutral,series_conversions,none,defense,game,0.147112538296626
rushing,neutral,success,opponent,differential,play,0.1463872618042785
rushing,any,points,none,defense,game,0.1458212853202819
core,any,epa,none,defense,play,0.14579373961912317
core,any,epa,none,defense,drive,0.14534380855010945
rushing,neutral,series_conversions,none,defense,game,0.14493097741745897
any,neutral,yards,none,defense,game,0.14476397185954998
core,neutral,yards,none,defense,game,0.14476397185954998
passing,any,epa,opponent,defense,drive,0.1446485469235198
core,neutral,series_conversions,opponent,offense,drive,0.14440125815728097
rushing,neutral,yards,none,differential,play,0.14395948973328637
rushing,neutral,success,opponent,offense,game,0.14251628076216152
passing,any,epa,opponent,defense,game,0.1424954925721278
rushing,neutral,series_conversions,opponent,differential,game,0.14164696382677666
core,any,epa,none,defense,game,0.14086602754370772
any,neutral,turnovers,none,defense,play,0.13934417102476054
core,neutral,turnovers,none,defense,play,0.13910038050473444
rushing,neutral,success,opponent,offense,drive,0.13768652446570295
rushing,neutral,yards,opponent,differential,play,0.13588089851228358
any,any,points,none,defense,game,0.13527311098659436
any,any,epa,none,defense,play,0.13499786107941295
any,any,epa,none,defense,drive,0.1345511090276307
rushing,any,series_conversions,opponent,defense,game,0.13408062595933906
any,neutral,turnovers,opponent,defense,play,0.1331778932379991
core,neutral,turnovers,opponent,defense,play,0.1327787190948136
core,any,epa,opponent,defense,play,0.1324823031735469
rushing,any,yards,none,defense,drive,0.13166978027834467
passing,neutral,epa,none,defense,play,0.13165297438942175
rushing,neutral,yards,opponent,defense,game,0.13048547639137842
rushing,neutral,yards,none,defense,game,0.12972481635095975
any,any,epa,none,defense,game,0.12965133905430212
core,neutral,series_conversions,none,offense,drive,0.12960045088686364
rushing,neutral,success,none,differential,drive,0.12955655804346114
core,any,epa,opponent,defense,drive,0.129131827234819
rushing,neutral,epa,none,differential,drive,0.12872431115802838
passing,neutral,epa,none,defense,drive,0.12835839829548987
rushing,neutral,epa,none,differential,play,0.12834079563628298
any,any,points,none,defense,play,0.1277933807527306
passing,any,turnovers,opponent,differential,drive,0.12559550784963217
passing,neutral,epa,none,defense,game,0.12532084102955995
core,any,epa,opponent,defense,game,0.1249403467793295
rushing,neutral,epa,none,differential,game,0.12435038333800227
passing,any,turnovers,none,differential,drive,0.12328743320226057
any,any,points,opponent,defense,game,0.12327593585656516
any,neutral,yards,opponent,defense,game,0.12300384563697021
core,neutral,yards,opponent,defense,game,0.12300384563697021
rushing,any,yards,opponent,defense,game,0.12298655210396997
any,any,points,opponent,defense,play,0.12286691096486417
passing,any,series_conversions,none,differential,drive,0.122714449125286
rushing,any,yards,none,defense,game,0.1227100646259789
rushing,neutral,success,none,differential,game,0.12224388910129019
rushing,any,yards,opponent,defense,drive,0.12213941613866129
passing,any,turnovers,opponent,differential,game,0.12146905922599217
rushing,neutral,yards,opponent,differential,drive,0.12145292528011375
rushing,neutral,epa,opponent,differential,play,0.12123355017548652
any,any,epa,opponent,defense,play,0.12118663373585829
passing,any,series_conversions,none,differential,game,0.12116437962736296
rushing,neutral,yards,none,differential,drive,0.12086476320991033
rushing,neutral,epa,opponent,differential,drive,0.1207251773183633
rushing,any,yards,none,differential,play,0.12002931412508927
rushing,neutral,epa,opponent,differential,game,0.11967843224621401
any,any,points,none,defense,drive,0.11831666721936773
rushing,neutral,success,opponent,differential,drive,0.11790634495844214
core,any,success,none,defense,play,0.11778873560230389
passing,any,turnovers,none,differential,game,0.11767324705979078
passing,neutral,success,none,defense,play,0.11737119366588716
any,any,epa,opponent,defense,drive,0.1173055398129628
core,any,success,none,defense,drive,0.11704014193935641
rushing,any,points,opponent,defense,play,0.11599783606897289
any,neutral,series_conversions,opponent,defense,game,0.11572872230861515
rushing,neutral,success,opponent,differential,game,0.11558784396265168
any,any,success,none,defense,play,0.11484607206120592
core,neutral,series_conversions,opponent,defense,game,0.11430818505706972
any,any,epa,opponent,defense,game,0.11315989683120355
any,any,success,none,defense,drive,0.11278507375578332
core,any,success,none,defense,game,0.1101587398125613
rushing,any,series_conversions,opponent,defense,drive,0.11007899005472391
passing,any,turnovers,opponent,differential,play,0.10932141393222831
rushing,neutral,series_conversions,opponent,offense,drive,0.10896007527169521
rushing,any,yards,opponent,differential,play,0.10851916168288998
rushing,neutral,yards,none,differential,game,0.10842056985662711
passing,neutral,success,none,defense,drive,0.1083894317044126
rushing,neutral,series_conversions,opponent,defense,game,0.10823249217839846
core,any,success,opponent,defense,play,0.10786918095792492
rushing,neutral,yards,none,defense,drive,0.10645722585752586
core,neutral,epa,none,defense,play,0.10559286028440001
passing,neutral,success,opponent,defense,play,0.10524072875531935
passing,any,success,none,defense,drive,0.10522889298664766
any,any,success,none,defense,game,0.10517423020948498
core,neutral,success,none,defense,play,0.1051003797156905
passing,any,turnovers,none,differential,play,0.10492382619763407
core,any,points,none,defense,game,0.10293553207957512
passing,any,success,none,defense,game,0.10282061615392461
passing,any,series_conversions,opponent,differential,game,0.10269417808746296
passing,neutral,series_conversions,none,defense,game,0.1025865814474454
any,any,success,opponent,defense,play,0.10256424948965764
rushing,neutral,yards,opponent,differential,game,0.10239505984571297
core,neutral,turnovers,opponent,defense,drive,0.10213170458626715
core,any,success,opponent,defense,drive,0.10200718134708821
any,neutral,turnovers,opponent,defense,drive,0.1011425919713263
passing,neutral,yards,none,defense,game,0.10062094477653644
passing,neutral,success,none,defense,game,0.09981030815905975
rushing,any,points,none,defense,play,0.09935708210104711
rushing,neutral,yards,opponent,defense,drive,0.09919891304082093
passing,any,series_conversions,opponent,differential,drive,0.09913928442937507
any,any,points,opponent,defense,drive,0.09900959620843788
core,neutral,success,opponent,defense,play,0.0984149263387447
core,any,success,opponent,defense,game,0.09824790229419579
core,neutral,turnovers,none,defense,drive,0.09799969832053873
core,any,points,none,defense,play,0.0976328480802785
any,neutral,turnovers,none,defense,drive,0.09730569559751975
passing,neutral,epa,opponent,defense,play,0.0972737991401834
core,neutral,epa,none,defense,drive,0.09638364930210551
rushing,neutral,series_conversions,none,defense,drive,0.09626014718267137
core,any,points,opponent,defense,play,0.09621937933261834
core,any,points,opponent,defense,game,0.0960916561021894
core,any,points,none,defense,drive,0.09519150923635887
any,any,success,opponent,defense,drive,0.09510970493776964
any,any,turnovers,opponent,differential,play,0.09294354752411278
passing,any,success,none,defense,play,0.09236172344635026
any,neutral,epa,none,defense,play,0.09203739627901691
rushing,neutral,series_conversions,opponent,offense,game,0.09167229787362777
any,any,turnovers,none,differential,play,0.0913369490111443
any,any,success,opponent,defense,game,0.09035032392927138
any,neutral,success,none,defense,play,0.09028594977152357
passing,neutral,epa,opponent,defense,game,0.09013134670835853
passing,neutral,epa,opponent,defense,drive,0.08913478412911877
passing,neutral,success,opponent,defense,drive,0.08842828753707294
core,neutral,success,none,defense,drive,0.08808083461776997
any,neutral,yards,none,defense,drive,0.08759099749473918
core,neutral,epa,none,defense,game,0.08687347445521947
core,neutral,epa,opponent,defense,play,0.0865965997298964
core,neutral,yards,none,defense,drive,0.08638093010962089
any,neutral,points,none,defense,game,0.08635516580177978
passing,any,success,opponent,defense,game,0.08551573539498364
rushing,neutral,series_conversions,none,offense,drive,0.08513288239055482
passing,any,success,opponent,defense,drive,0.08457915098198138
passing,neutral,series_conversions,opponent,defense,game,0.0844379889638485
any,neutral,epa,none,defense,drive,0.08430003723683907
passing,neutral,success,opponent,defense,game,0.08429655176562584
core,any,points,opponent,defense,drive,0.08388700431706213
core,any,turnovers,opponent,differential,play,0.08363217104372946
any,neutral,series_conversions,none,defense,drive,0.0828525510057992
any,neutral,success,opponent,defense,play,0.08226301451259545
core,any,turnovers,none,differential,play,0.08186140015649712
core,neutral,series_conversions,none,defense,drive,0.08088859886543608
any,neutral,points,opponent,defense,game,0.07968764861189327
any,neutral,turnovers,none,defense,game,0.07840371267019974
core,neutral,turnovers,none,defense,game,0.07840371267019974
passing,any,success,opponent,defense,play,0.07714902962167954
any,neutral,turnovers,opponent,defense,game,0.07714249488368764
core,neutral,turnovers,opponent,defense,game,0.07714249488368764
rushing,neutral,series_conversions,none,offense,game,0.07676781418998711
any,neutral,epa,none,defense,game,0.0758236446413522
passing,neutral,yards,opponent,defense,game,0.07455755389071403
core,neutral,epa,opponent,defense,drive,0.07347327283988156
any,neutral,success,none,defense,drive,0.07346316213262478
core,neutral,success,opponent,defense,drive,0.07322594231283013
any,neutral,epa,opponent,defense,play,0.07286786875858052
core,neutral,success,none,defense,game,0.07084682515644973
passing,any,yards,none,defense,play,0.06863152241146754
core,neutral,epa,opponent,defense,game,0.06716499350710542
rushing,any,success,opponent,defense,play,0.06517329128019106
rushing,any,success,none,defense,play,0.06440368438813354
any,any,turnovers,opponent,differential,game,0.06388880055463327
core,any,turnovers,opponent,differential,game,0.06388880055463327
any,any,series_conversions,none,defense,game,0.06366257746808249
any,neutral,epa,opponent,defense,drive,0.06088032208972438
core,neutral,success,opponent,defense,game,0.060709049538408985
any,any,turnovers,opponent,differential,drive,0.06068141432366398
core,any,turnovers,opponent,differential,drive,0.06050359698333231
passing,neutral,turnovers,opponent,differential,play,0.06001919398869701
any,any,turnovers,none,differential,drive,0.05933144103489714
core,any,turnovers,none,differential,drive,0.05925295321315511
any,any,turnovers,none,differential,game,0.05910375183825074
core,any,turnovers,none,differential,game,0.05910375183825074
any,neutral,success,none,defense,game,0.05817148590065856
any,neutral,yards,opponent,defense,drive,0.0578496204868519
any,neutral,success,opponent,defense,drive,0.057816618710584716
passing,neutral,yards,none,defense,drive,0.05721049390243155
passing,neutral,turnovers,none,differential,play,0.05718283706497714
any,neutral,epa,opponent,defense,game,0.0563948120990319
core,neutral,yards,opponent,defense,drive,0.056142222790930986
rushing,neutral,success,opponent,defense,play,0.05585587454114375
passing,any,points,none,defense,play,0.05573746386321106
rushing,neutral,series_conversions,opponent,defense,drive,0.05526992661671687
passing,neutral,series_conversions,none,defense,drive,0.05418343378604334
rushing,neutral,yards,none,offense,drive,0.05306310654482361
any,neutral,points,none,defense,drive,0.051820512397685904
rushing,neutral,yards,opponent,offense,drive,0.04980826307745393
any,neutral,success,opponent,defense,game,0.04677638359341188
core,any,series_conversions,none,defense,game,0.046493189618554004
core,any,series_conversions,none,defense,play,0.04584126756130888
passing,any,yards,opponent,defense,play,0.04547131393181003
any,neutral,series_conversions,opponent,defense,drive,0.04525316291200269
passing,neutral,turnovers,opponent,differential,drive,0.04431908538075644
any,any,series_conversions,none,defense,play,0.04303141291734679
rushing,neutral,yards,opponent,defense,play,0.042090617329807054
any,any,series_conversions,none,defense,drive,0.04195226423570714
core,neutral,series_conversions,opponent,defense,drive,0.04121345201300763
any,any,yards,none,defense,game,0.040482768140991394
core,any,yards,none,defense,game,0.040482768140991394
rushing,neutral,success,none,defense,play,0.03982862140562131
passing,neutral,turnovers,none,differential,drive,0.0391273206162661
rushing,any,success,none,defense,game,0.03713243269535076
rushing,neutral,points,opponent,defense,game,0.036610237110897684
rushing,any,success,opponent,defense,game,0.036421824964130406
passing,neutral,points,none,defense,game,0.0352343896477998
passing,any,points,opponent,defense,play,0.03488972716579265
any,neutral,points,opponent,defense,drive,0.034796965499682996
core,any,yards,none,defense,drive,0.033050257847104865
passing,any,series_conversions,none,defense,play,0.03298926120048456
passing,neutral,turnovers,opponent,differential,game,0.0328720969061377
core,any,series_conversions,none,defense,drive,0.03234432702041149
core,neutral,points,none,defense,game,0.032286395953014274
rushing,any,success,none,defense,drive,0.032148468444929745
any,any,yards,none,defense,drive,0.030446997994708593
core,neutral,points,opponent,defense,game,0.03015941885336092
rushing,any,success,opponent,defense,drive,0.03013684510662442
rushing,neutral,success,opponent,defense,drive,0.02795430923269413
core,any,yards,none,defense,play,0.02759759890444482
rushing,neutral,points,opponent,defense,drive,0.027151729470407063
rushing,neutral,yards,none,offense,game,0.027037174652342174
any,any,series_conversions,opponent,defense,game,0.02678026438419712
passing,neutral,turnovers,none,differential,game,0.026743046233055984
core,neutral,series_conversions,none,defense,play,0.025728116227218528
passing,neutral,series_conversions,opponent,defense,drive,0.023271484148911146
passing,neutral,yards,opponent,defense,drive,0.021483501974239674
passing,neutral,points,none,defense,drive,0.021432747076236703
rushing,neutral,yards,none,defense,play,0.021347466368381095
passing,neutral,series_conversions,none,defense,play,0.02113521649954983
passing,any,points,none,defense,drive,0.01957454813761737
any,neutral,series_conversions,none,defense,play,0.018853472362471962
core,any,yards,opponent,defense,game,0.018051508599378856
any,any,yards,opponent,defense,game,0.018051508599378856
core,neutral,yards,none,defense,play,0.016646050785428215
rushing,neutral,success,opponent,defense,game,0.015834029202240328
rushing,neutral,success,none,defense,drive,0.015032587159679053
rushing,neutral,series_conversions,none,defense,play,0.014415975637712136
core,any,yards,opponent,defense,play,0.013601768726566049
core,neutral,points,none,defense,drive,0.012707909171882468
passing,neutral,yards,none,defense,play,0.012170430262501029
any,neutral,yards,none,defense,play,0.010767351915037067
passing,any,points,none,defense,game,0.010133890049442732
rushing,neutral,yards,opponent,offense,game,0.009861120214812495
rushing,any,series_conversions,none,defense,play,0.009737774294826168
any,neutral,turnovers,opponent,differential,play,0.008669351448877559
passing,any,series_conversions,opponent,defense,play,0.008103126737924375
any,any,series_conversions,opponent,defense,play,0.007543538237132048
core,any,series_conversions,opponent,defense,game,0.007445586838550012
core,any,series_conversions,opponent,defense,play,0.007165183450688917
rushing,neutral,points,none,defense,game,0.005940775242296344
any,any,yards,none,defense,play,0.005916602249533896
core,any,yards,opponent,defense,drive,0.005521370132139054
any,neutral,turnovers,none,differential,play,0.004851549257461884
any,any,series_conversions,opponent,defense,drive,0.00459236031925578
passing,neutral,points,opponent,defense,game,0.004193285577895262
core,neutral,yards,opponent,defense,play,0.004131128639106305
core,neutral,points,opponent,defense,drive,0.0026757021024325996
any,any,yards,opponent,defense,drive,0.002409835034291717
rushing,neutral,success,none,defense,game,0.000987204618286955
rushing,neutral,points,opponent,defense,play,0.0005731033337160398
core,neutral,turnovers,opponent,differential,play,0.0004813645172581223
rushing,neutral,points,none,defense,drive,-0.0015798518128466602
any,neutral,yards,opponent,defense,play,-0.00242566766923889
core,neutral,turnovers,none,differential,play,-0.003092313368390494
rushing,any,epa,opponent,defense,game,-0.005081299248005835
rushing,any,epa,opponent,defense,drive,-0.005088061178352103
rushing,any,epa,opponent,defense,play,-0.005384508318708339
core,any,series_conversions,opponent,defense,drive,-0.005445474590843358
passing,neutral,series_conversions,opponent,defense,play,-0.006102539576791882
any,any,yards,opponent,defense,play,-0.007749658644764992
passing,any,points,opponent,defense,drive,-0.009277918090139095
rushing,any,epa,none,defense,play,-0.01077718025529384
passing,any,yards,none,defense,drive,-0.011141281682277052
rushing,any,yards,opponent,defense,play,-0.013366525560852653
passing,any,points,opponent,defense,game,-0.014455668378242565
rushing,neutral,epa,opponent,defense,play,-0.01517332442717225
passing,neutral,points,opponent,defense,drive,-0.015650971588333114
core,neutral,series_conversions,opponent,defense,play,-0.015729178071661035
rushing,any,epa,none,defense,game,-0.015837220555576785
rushing,any,epa,none,defense,drive,-0.015930932409373395
passing,neutral,yards,opponent,defense,play,-0.01655394172158265
any,neutral,points,opponent,defense,play,-0.018488141117905966
rushing,neutral,epa,opponent,defense,drive,-0.018689900611446427
core,neutral,turnovers,opponent,differential,drive,-0.018796928538011987
passing,neutral,points,none,defense,play,-0.018873913794551177
any,neutral,series_conversions,opponent,defense,play,-0.019695599382411822
any,neutral,points,none,defense,play,-0.020394586110558218
any,neutral,turnovers,opponent,differential,drive,-0.02041288790324956
core,neutral,turnovers,none,differential,drive,-0.022923935429935732
any,neutral,turnovers,none,differential,drive,-0.02443934177223389
passing,any,yards,none,defense,game,-0.025028445936284845
rushing,any,yards,none,defense,play,-0.02613974095724541
core,neutral,turnovers,opponent,differential,game,-0.027821223061587293
any,neutral,turnovers,opponent,differential,game,-0.027821223061587293
rushing,neutral,epa,opponent,defense,game,-0.0303788902959297
rushing,neutral,epa,none,defense,play,-0.03399243280228396
any,neutral,turnovers,none,differential,game,-0.03457288512723985
core,neutral,turnovers,none,differential,game,-0.03457288512723985
rushing,neutral,series_conversions,opponent,defense,play,-0.035481242306432965
rushing,any,series_conversions,opponent,defense,play,-0.037797404518675026
core,neutral,points,opponent,defense,play,-0.03850202354685273
rushing,any,turnovers,none,offense,play,-0.03859894137372724
rushing,neutral,points,none,defense,play,-0.03898175658533497
passing,any,yards,opponent,defense,drive,-0.03907316073851375
rushing,neutral,epa,none,defense,drive,-0.04071263969091767
core,neutral,points,none,defense,play,-0.043828213551746924
passing,any,yards,opponent,defense,game,-0.047164217663338406
rushing,neutral,turnovers,none,offense,game,-0.04993970342867604
rushing,neutral,turnovers,none,offense,play,-0.050635964271709244
passing,neutral,points,opponent,defense,play,-0.05144311576674374
passing,any,series_conversions,none,defense,drive,-0.053703070604917406
rushing,neutral,epa,none,defense,game,-0.05409751730626411
rushing,any,turnovers,opponent,offense,play,-0.05568603694697286
any,any,turnovers,none,offense,play,-0.05617015542591149
passing,any,turnovers,none,offense,drive,-0.059633253690972055
passing,any,turnovers,opponent,offense,game,-0.06007393448186112
rushing,neutral,turnovers,opponent,offense,play,-0.060593852091528996
passing,any,turnovers,opponent,offense,drive,-0.06159899437477639
any,any,turnovers,opponent,offense,play,-0.06282344714940438
rushing,neutral,turnovers,opponent,offense,game,-0.06286515902251122
rushing,neutral,turnovers,none,offense,drive,-0.06323174225220292
passing,any,turnovers,none,offense,game,-0.0654879169355764
core,any,turnovers,none,offense,play,-0.06864402670368698
core,any,turnovers,opponent,offense,play,-0.07562255786961022
passing,any,turnovers,none,offense,play,-0.07989902924342587
passing,any,series_conversions,opponent,defense,drive,-0.08056940869077778
passing,any,turnovers,opponent,offense,play,-0.08083641122267987
rushing,neutral,turnovers,opponent,offense,drive,-0.08233779867141432
rushing,any,turnovers,none,offense,game,-0.0826286823974173
passing,neutral,turnovers,opponent,offense,game,-0.08391425138152482
core,any,turnovers,none,offense,game,-0.08433135835890362
any,any,turnovers,none,offense,game,-0.08433135835890362
rushing,any,turnovers,none,offense,drive,-0.08648432269471586
passing,any,series_conversions,none,defense,game,-0.08700139101682905
passing,neutral,turnovers,opponent,offense,drive,-0.08738182876188536
any,any,turnovers,opponent,offense,game,-0.0876046986206561
core,any,turnovers,opponent,offense,game,-0.0876046986206561
core,any,turnovers,none,offense,drive,-0.09278161506601335
any,any,turnovers,none,offense,drive,-0.0929972871321795
any,neutral,turnovers,opponent,offense,game,-0.09644650086631605
core,neutral,turnovers,opponent,offense,game,-0.09644650086631605
passing,neutral,turnovers,none,offense,drive,-0.09922791154706781
passing,neutral,turnovers,none,offense,game,-0.1006917112918304
rushing,any,turnovers,opponent,offense,game,-0.103052467778408
passing,neutral,turnovers,opponent,offense,play,-0.10620976494468552
core,any,turnovers,opponent,offense,drive,-0.10637593794141152
any,any,turnovers,opponent,offense,drive,-0.10640498375584949
rushing,any,turnovers,opponent,defense,play,-0.10649307046161134
any,neutral,turnovers,none,offense,game,-0.10678510832757365
core,neutral,turnovers,none,offense,game,-0.10678510832757365
core,neutral,turnovers,opponent,offense,drive,-0.10793803518280994
any,neutral,turnovers,opponent,offense,drive,-0.10897039700643343
rushing,any,turnovers,opponent,offense,drive,-0.10932208293639002
passing,any,series_conversions,opponent,defense,game,-0.10961293148076175
core,neutral,turnovers,none,offense,drive,-0.11078301573406389
any,neutral,turnovers,opponent,offense,play,-0.11198347174231484
any,neutral,turnovers,none,offense,drive,-0.11207340896226439
rushing,any,turnovers,opponent,differential,play,-0.11834679985768479
passing,neutral,turnovers,none,offense,play,-0.11905432212296402
any,neutral,turnovers,none,offense,play,-0.12124796925236385
core,neutral,turnovers,opponent,offense,play,-0.1228574930232697
rushing,any,turnovers,none,differential,play,-0.12303556195520003
rushing,any,turnovers,opponent,defense,drive,-0.12494737064617266
rushing,any,turnovers,opponent,defense,game,-0.13011290808137058
core,neutral,turnovers,none,offense,play,-0.1320521446969587
rushing,any,turnovers,none,defense,play,-0.13497199058003279
rushing,neutral,turnovers,opponent,differential,play,-0.1498109705039385
rushing,neutral,turnovers,opponent,defense,play,-0.15287596884297674
rushing,neutral,turnovers,none,differential,play,-0.15581444717248524
rushing,any,turnovers,none,defense,drive,-0.15601188096897095
rushing,any,turnovers,none,defense,game,-0.15766489614700835
rushing,neutral,turnovers,opponent,defense,drive,-0.16183978787353964
rushing,neutral,turnovers,opponent,differential,game,-0.17080897766229822
rushing,any,turnovers,none,differential,drive,-0.17086647565852955
rushing,any,turnovers,none,differential,game,-0.17157036245234553
rushing,any,turnovers,opponent,differential,drive,-0.1719901649191205
rushing,any,turnovers,opponent,differential,game,-0.17225288284308599
rushing,neutral,turnovers,none,differential,drive,-0.17265848462399466
rushing,neutral,turnovers,opponent,differential,drive,-0.17301488334631565
rushing,neutral,turnovers,none,differential,game,-0.1733782076329167
rushing,neutral,turnovers,none,defense,play,-0.17801037442988266
rushing,neutral,turnovers,opponent,defense,game,-0.1783306119755432
rushing,neutral,turnovers,none,defense,drive,-0.19084814131745786
rushing,neutral,turnovers,none,defense,game,-0.2051240582171717
