subject,scenario,base,adjusted_by,unit,per,correlation
core,any,yards,opponent,differential,play,0.38069717803116176
any,neutral,epa,none,offense,play,0.3804094371173488
passing,neutral,epa,none,differential,play,0.3798661232185288
passing,neutral,epa,none,offense,game,0.37947718432863087
passing,neutral,epa,none,differential,game,0.3755710885786366
core,neutral,epa,opponent,differential,drive,0.37515860720336097
core,any,points,none,differential,play,0.3747206120583071
core,neutral,epa,opponent,differential,play,0.37468771732215433
passing,any,series_conversions,opponent,offense,play,0.37356061249664607
any,any,yards,opponent,differential,play,0.373116286668567
core,neutral,series_conversions,opponent,offense,play,0.3729700395075983
core,neutral,epa,none,differential,drive,0.3727916976389998
core,neutral,epa,opponent,differential,game,0.37240345007487197
rushing,any,series_conversions,opponent,offense,play,0.372056203480701
core,any,success,none,offense,game,0.37202032233191246
any,neutral,series_conversions,opponent,offense,play,0.3715013256132139
passing,any,yards,none,differential,play,0.37091703942531984
core,any,success,none,offense,play,0.37034675367189246
passing,neutral,series_conversions,opponent,offense,play,0.3695541340422978
core,neutral,epa,none,differential,play,0.3685207072253262
core,neutral,epa,none,differential,game,0.36705302836477144
any,neutral,epa,opponent,differential,drive,0.3669934386843823
any,neutral,epa,opponent,differential,play,0.3668169395397467
core,any,yards,none,differential,play,0.36638970974677004
core,neutral,points,none,offense,game,0.36582920617522563
core,any,success,none,offense,drive,0.36571598081082624
any,neutral,points,none,offense,game,0.36479082363115234
any,neutral,epa,none,differential,drive,0.3644251862945708
any,neutral,epa,opponent,differential,game,0.3641149473265848
any,neutral,points,opponent,offense,game,0.36372920778693413
passing,any,series_conversions,none,offense,play,0.3628760011082785
any,any,series_conversions,opponent,offense,game,0.3614157159041816
core,neutral,points,opponent,offense,game,0.36080101032127526
any,neutral,epa,none,differential,play,0.3598848121613517
any,any,yards,none,differential,play,0.3589215929366607
passing,any,series_conversions,opponent,differential,play,0.35888635950489395
passing,any,points,opponent,offense,play,0.3584857824798702
any,neutral,epa,none,differential,game,0.3581766268889008
passing,any,series_conversions,none,differential,play,0.35782222170894085
any,any,series_conversions,none,offense,game,0.35647724574847744
core,neutral,success,none,offense,play,0.3559262984903776
passing,neutral,success,none,offense,play,0.3553352656393155
any,any,success,none,offense,game,0.35460443882501924
rushing,any,series_conversions,none,offense,play,0.353409395816911
passing,neutral,points,opponent,offense,play,0.3520121538136582
any,any,success,none,offense,play,0.351901534696593
core,neutral,series_conversions,none,offense,play,0.35173932853375506
passing,any,success,none,offense,play,0.35153516526379375
any,neutral,series_conversions,none,offense,play,0.3508190034030459
any,any,success,none,offense,drive,0.348819975905353
passing,neutral,series_conversions,none,offense,play,0.34812496971489665
passing,any,success,none,offense,game,0.34723317084052674
any,neutral,points,opponent,differential,game,0.3470963308973818
core,neutral,yards,opponent,differential,play,0.34659713334673414
passing,any,points,none,offense,play,0.3465140760134368
core,any,yards,opponent,differential,drive,0.34622151522520966
passing,any,points,opponent,offense,game,0.34487433069239304
passing,neutral,yards,opponent,differential,play,0.34481049616241566
passing,neutral,success,none,offense,drive,0.3443295393702609
core,any,yards,none,differential,drive,0.3441854291329334
passing,any,success,none,offense,drive,0.3438479836842022
any,any,yards,opponent,differential,drive,0.34293676094722325
core,any,yards,opponent,differential,game,0.34277458182506215
any,any,yards,opponent,differential,game,0.34277458182506215
core,neutral,success,none,offense,game,0.34229625479794584
any,any,yards,none,differential,game,0.3421279792930902
core,any,yards,none,differential,game,0.3421279792930902
any,neutral,yards,opponent,differential,play,0.3420704857866601
any,any,yards,none,differential,drive,0.3418643939619196
core,neutral,success,none,offense,drive,0.34175346993179095
passing,neutral,series_conversions,opponent,differential,play,0.3408867990033593
core,neutral,series_conversions,opponent,differential,play,0.34046045370874095
core,any,success,opponent,offense,game,0.3389076277818546
any,neutral,points,none,differential,game,0.3385666231953599
core,any,series_conversions,opponent,offense,game,0.3383408560116534
core,neutral,points,opponent,offense,drive,0.3378143458313557
rushing,any,series_conversions,opponent,differential,play,0.33765806584722313
passing,neutral,success,none,offense,game,0.33753414761181666
any,neutral,series_conversions,opponent,differential,play,0.3370927062717971
rushing,any,series_conversions,none,differential,play,0.33698797567569166
core,neutral,series_conversions,none,differential,play,0.33690680293969855
passing,neutral,success,opponent,offense,play,0.33616222739761353
core,neutral,yards,none,differential,play,0.33596637903434534
core,any,success,none,differential,play,0.3356810470420938
core,any,success,opponent,offense,play,0.3350506942197132
any,neutral,points,opponent,differential,drive,0.3344127053457286
passing,neutral,yards,none,differential,play,0.334373043622262
passing,any,points,none,offense,game,0.334365262553555
core,any,success,none,differential,game,0.3343394254335327
core,any,series_conversions,none,offense,game,0.3334835901199682
passing,neutral,series_conversions,none,differential,play,0.332694633847112
any,neutral,series_conversions,none,differential,play,0.3324750685472014
passing,neutral,yards,opponent,differential,game,0.3323262702143157
passing,neutral,wins,opponent,defense,play,0.33210559136982254
any,neutral,yards,none,differential,play,0.33189098894320146
core,neutral,points,none,offense,drive,0.3318881630826089
passing,neutral,points,none,offense,play,0.33157712348033164
any,neutral,success,none,offense,play,0.33125722688179937
core,any,success,none,differential,drive,0.3311438193002853
core,neutral,wins,opponent,defense,play,0.33028333281350786
any,neutral,points,opponent,differential,play,0.32993743733867026
rushing,neutral,series_conversions,opponent,offense,play,0.32972817348191835
passing,neutral,yards,none,differential,game,0.32920298549503857
any,neutral,wins,opponent,defense,play,0.3288205987422718
any,any,yards,opponent,offense,drive,0.32830908016278515
any,neutral,points,none,differential,drive,0.32821018208244673
core,any,yards,opponent,offense,drive,0.3278801663957002
core,any,success,opponent,offense,drive,0.3276088729317853
any,any,yards,none,offense,drive,0.32564081719295657
core,any,yards,none,offense,drive,0.3252130379197485
passing,neutral,success,opponent,offense,drive,0.32513300668657347
passing,any,success,opponent,offense,play,0.3237033276894471
core,neutral,wins,opponent,differential,play,0.323225907171844
core,neutral,yards,none,differential,game,0.3231974528988271
any,neutral,yards,none,differential,game,0.3231974528988271
passing,any,success,opponent,offense,game,0.323115012906106
passing,neutral,success,opponent,offense,game,0.3223499350951358
core,neutral,success,opponent,offense,play,0.3220075007292476
any,neutral,points,opponent,offense,drive,0.3217439865291826
any,neutral,wins,opponent,differential,play,0.32137535416925506
core,neutral,points,opponent,differential,game,0.32098257642814637
any,neutral,yards,opponent,differential,game,0.32093565837845894
core,neutral,yards,opponent,differential,game,0.32093565837845894
passing,neutral,success,none,differential,play,0.32007738371668615
passing,neutral,wins,none,defense,play,0.31972739196239874
any,any,success,opponent,offense,game,0.31970566722214866
rushing,neutral,wins,opponent,differential,play,0.3195693490683555
any,neutral,success,none,offense,drive,0.3192581032943548
any,neutral,points,none,differential,play,0.31860621793046257
core,neutral,wins,none,defense,play,0.3183622478850754
any,any,success,none,differential,play,0.31788562403676573
any,neutral,success,none,offense,game,0.31761277261594106
passing,neutral,wins,opponent,differential,play,0.317575041644043
any,any,success,none,differential,game,0.31673443464022544
any,neutral,wins,none,defense,play,0.3166867589802754
rushing,neutral,series_conversions,none,offense,play,0.3161863018687306
passing,any,success,opponent,offense,drive,0.3161200640942388
passing,any,points,opponent,offense,drive,0.3160223416899354
any,any,success,none,differential,drive,0.31511956310034606
any,neutral,points,none,offense,drive,0.3145229255401169
core,neutral,points,opponent,differential,drive,0.3145080566021921
core,any,success,opponent,differential,play,0.3144258222276137
passing,any,yards,opponent,differential,game,0.3143355150856234
core,neutral,wins,none,differential,play,0.314314210370973
any,any,success,opponent,offense,play,0.31418953298198965
passing,neutral,yards,none,offense,game,0.31328774413155797
rushing,any,points,opponent,differential,drive,0.3131438733114223
any,neutral,wins,none,differential,play,0.3124001758340737
core,any,success,opponent,differential,game,0.31230896639148087
passing,neutral,success,none,differential,drive,0.31194888817356226
passing,any,yards,none,differential,game,0.311881978841225
rushing,neutral,wins,none,differential,play,0.311183891208703
core,neutral,success,none,differential,play,0.3111079463596378
core,neutral,points,none,differential,game,0.3105613039950139
passing,neutral,wins,none,differential,play,0.3105278806317664
rushing,neutral,wins,opponent,offense,play,0.30993474757521255
any,any,success,opponent,offense,drive,0.3091835200619287
any,any,wins,opponent,defense,play,0.30906636743021915
core,any,wins,opponent,defense,play,0.30893491741800116
passing,any,yards,none,offense,drive,0.30888935441241816
rushing,neutral,wins,opponent,defense,play,0.30855406477910396
passing,neutral,yards,none,differential,drive,0.3084540330330044
passing,neutral,success,opponent,differential,play,0.3083036558784677
passing,any,success,none,differential,game,0.3082948928615009
any,neutral,yards,none,differential,drive,0.3078739009061625
core,neutral,success,opponent,offense,game,0.3078555573626271
core,neutral,wins,opponent,offense,play,0.3075616370051304
passing,any,yards,opponent,offense,drive,0.30735487995978383
passing,neutral,yards,opponent,offense,game,0.3069440848938402
passing,neutral,points,opponent,offense,game,0.30676471302322067
rushing,any,points,opponent,differential,game,0.3063994795890142
rushing,neutral,wins,none,offense,play,0.30593709467050767
passing,neutral,success,none,differential,game,0.3056016613494673
passing,any,success,none,differential,drive,0.3054518112315406
core,neutral,wins,none,offense,play,0.3051167141627744
any,neutral,wins,opponent,offense,play,0.3050834849773365
core,neutral,points,none,differential,drive,0.30501632010806523
passing,any,success,none,differential,play,0.30485486460890193
rushing,any,points,none,offense,game,0.3039632099280832
core,any,success,opponent,differential,drive,0.3038187077642617
rushing,neutral,wins,none,defense,play,0.30376996761229746
core,neutral,yards,none,differential,drive,0.30354505134540244
any,neutral,yards,opponent,differential,drive,0.3030549620409973
any,neutral,wins,none,offense,play,0.3029862480405334
passing,neutral,yards,opponent,differential,drive,0.30288334321869964
core,neutral,success,opponent,offense,drive,0.3027221588183634
core,neutral,points,opponent,differential,play,0.3025695291198247
rushing,any,points,none,differential,drive,0.30148206703938824
core,neutral,wins,opponent,differential,game,0.3012709843405413
core,any,wins,opponent,offense,game,0.3012709843405413
rushing,neutral,wins,opponent,differential,game,0.3012709843405413
passing,any,wins,opponent,offense,game,0.3012709843405413
core,neutral,wins,opponent,defense,game,0.3012709843405413
core,any,wins,opponent,defense,game,0.3012709843405413
rushing,any,wins,opponent,differential,game,0.3012709843405413
core,neutral,wins,opponent,offense,game,0.3012709843405413
rushing,any,wins,opponent,defense,game,0.3012709843405413
rushing,any,wins,opponent,offense,game,0.3012709843405413
core,any,wins,opponent,differential,game,0.3012709843405413
rushing,neutral,wins,opponent,defense,game,0.3012709843405413
rushing,neutral,wins,opponent,offense,game,0.3012709843405413
passing,neutral,wins,opponent,defense,game,0.3012709843405413
passing,any,wins,opponent,defense,game,0.3012709843405413
any,any,wins,opponent,differential,game,0.3012709843405413
passing,any,wins,opponent,differential,game,0.3012709843405413
any,neutral,wins,opponent,defense,game,0.3012709843405413
any,neutral,wins,opponent,differential,game,0.3012709843405413
any,neutral,wins,opponent,offense,game,0.3012709843405413
passing,neutral,wins,opponent,differential,game,0.3012709843405413
any,any,wins,opponent,defense,game,0.3012709843405413
